Feature,Gain,Cover,Frequency,Importance
ContractMonth.to.month,0.4388896558961892,0.1606444350305237,0.01791867677463818,0.4388896558961892
tenure,0.18648047893949596,0.20786293566674433,0.23569951757408683,0.18648047893949596
InternetService,0.11661885795766173,0.09241762475158498,0.026188835286009647,0.11661885795766173
MonthlyCharges,0.10358909803842631,0.18545820081229394,0.3004824259131633,0.10358909803842631
PaymentMethodElectronic.check,0.021910826245273064,0.06834488353395146,0.053756030323914544,0.021910826245273064
PaperlessBilling,0.016447538062881312,0.03203241603651246,0.03514817367332874,0.016447538062881312
ContractOne.year,0.014615678054242152,0.05294487710007233,0.026188835286009647,0.014615678054242152
OnlineSecurity,0.011926584875177245,0.029251000227998626,0.03239145416953825,0.011926584875177245
TechSupport,0.011778514906981135,0.02237354070017535,0.027567195037904894,0.011778514906981135
StreamingMovies,0.010814784796150773,0.0267152838989627,0.024810475534114404,0.010814784796150773
SeniorCitizen,0.01078710501652759,0.022740226366639173,0.03514817367332874,0.01078710501652759
PhoneService,0.009876598017472581,0.01673699584691459,0.026188835286009647,0.009876598017472581
MultipleLines,0.009021389294798792,0.014683880879493079,0.015161957270847692,0.009021389294798792
ContractTwo.year,0.008207618354972735,0.019595958292045492,0.0027567195037904893,0.008207618354972735
OnlineBackup,0.006286033892157851,0.011296098024401385,0.027567195037904894,0.006286033892157851
gender,0.005540506177373297,0.008889897480904862,0.024810475534114404,0.005540506177373297
Dependents,0.0043213239903512855,0.007090658217585541,0.025499655410062026,0.0043213239903512855
StreamingTV,0.003107377790195048,0.006791936817575422,0.013783597518952447,0.003107377790195048
PaymentMethodBank.transfer..automatic.,0.0030846199227537834,0.003948119979050085,0.01171605789110958,0.0030846199227537834
PaymentMethodMailed.check,0.0025644330012030443,0.004288657388248733,0.009648518263266712,0.0025644330012030443
PaymentMethodCredit.card..automatic.,0.001493140763960787,0.002404180940816353,0.011026878015161957,0.001493140763960787
DeviceProtection,0.0013372989662033404,0.0024864828597238953,0.00895933838731909,0.0013372989662033404
Partner,0.0013005370395509747,0.0010017091477815408,0.007580978635423846,0.0013005370395509747
